main_cat,sec_cat,raw_cat,isic_embed,isic_descr,dose,match_score
eat_and_drink,eat_and_drink,eat_and_drink,86,Human health activities,services,0.24837496876716614
eat_and_drink,restaurant,restaurant,56,Food and beverage service activities,services,0.5036103129386902
eat_and_drink,bar,bar,56,Food and beverage service activities,services,0.25361621379852295
eat_and_drink,cafe,cafe,56,Food and beverage service activities,services,0.3348732590675354
accommodation,accommodation,accommodation,55,Accommodation,services,0.5585708022117615
accommodation,bed_and_breakfast,bed_and_breakfast,97,Activities of households as employers of domestic personnel,services,0.28124386072158813
accommodation,cabin,cabin,51,Air transport,services,0.3257924020290375
accommodation,campground,campground,55,Accommodation,services,0.5387192964553833
accommodation,cottage,cottage,55,Accommodation,services,0.3955051302909851
accommodation,guest_house,guest_house,55,Accommodation,services,0.3110898733139038
accommodation,health_retreats,health_retreats,86,Human health activities,services,0.4196803569793701
accommodation,holiday_rental_home,holiday_rental_home,55,Accommodation,services,0.41254693269729614
accommodation,hostel,hostel,55,Accommodation,services,0.3925718665122986
accommodation,hotel,hotel,55,Accommodation,services,0.42361631989479065
accommodation,inn,inn,55,Accommodation,services,0.24269726872444153
accommodation,lodge,lodge,55,Accommodation,services,0.2981525659561157
accommodation,motel,motel,55,Accommodation,services,0.3663770258426666
accommodation,mountain_huts,mountain_huts,55,Accommodation,services,0.34542316198349
accommodation,resort,resort,55,Accommodation,services,0.43955469131469727
accommodation,rv_park,rv_park,55,Accommodation,services,0.4560421109199524
accommodation,service_apartments,service_apartments,81,Services to buildings and landscape activities,services,0.5144455432891846
automotive,automotive,automotive,29,"Manufacture of motor vehicles, trailers and semi-trailers",manufacturing,0.350571870803833
automotive,automotive_dealer,automotive_dealer,45,Wholesale and retail trade and repair of motor vehicles and motorcycles,services,0.3305559754371643
automotive,car_buyer,car_buyer,45,Wholesale and retail trade and repair of motor vehicles and motorcycles,services,0.31043973565101624
automotive,automotive_services_and_repair,automotive_services_and_repair,33,Repair and installation of machinery and equipment,manufacturing,0.4828149676322937
automotive,motorsport_vehicle_repair,motorsport_vehicle_repair,45,Wholesale and retail trade and repair of motor vehicles and motorcycles,services,0.40732771158218384
automotive,automotive_parts_and_accessories,automotive_parts_and_accessories,30,Manufacture of other transport equipment,manufacturing,0.4058794379234314
automotive,aircraft_dealer,aircraft_dealer,51,Air transport,services,0.2648749351501465
automotive,aircraft_services_and_repair,aircraft_services_and_repair,33,Repair and installation of machinery and equipment,manufacturing,0.484069287776947
automotive,aircraft_parts_and_supplies,aircraft_parts_and_supplies,30,Manufacture of other transport equipment,manufacturing,0.4653794467449188
automotive,boat_dealer,boat_dealer,03,Fishing and aquaculture,agriculture,0.2982509136199951
automotive,boat_service_and_repair,boat_service_and_repair,52,Warehousing and support activities for transportation,services,0.4189217686653137
automotive,boat_parts_and_accessories,boat_parts_and_accessories,52,Warehousing and support activities for transportation,services,0.3622358441352844
automotive,gas_station,gas_station,35,"Electricity, gas, steam and air conditioning supply",manufacturing,0.35426658391952515
automotive,electric_vehicle_charging_station,electric_vehicle_charging_station,55,Accommodation,services,0.22219683229923248
automotive,truck_stop,truck_stop,51,Air transport,services,0.2527088224887848
automotive,automobile_leasing,automobile_leasing,77,Rental and leasing activities,services,0.5133358836174011
automotive,automotive_repair,automotive_repair,33,Repair and installation of machinery and equipment,manufacturing,0.4627460241317749
automotive,auto_company,auto_company,29,"Manufacture of motor vehicles, trailers and semi-trailers",manufacturing,0.3512391746044159
automotive,motorcycle_manufacturer,motorcycle_manufacturer,45,Wholesale and retail trade and repair of motor vehicles and motorcycles,services,0.35933244228363037
arts_and_entertainment,arts_and_entertainment,arts_and_entertainment,90,"Creative, arts and entertainment activities",services,0.6920202970504761
arts_and_entertainment,adult_entertainment,adult_entertainment,90,"Creative, arts and entertainment activities",services,0.44798344373703003
arts_and_entertainment,arcade,arcade,90,"Creative, arts and entertainment activities",services,0.2507888674736023
arts_and_entertainment,auditorium,auditorium,90,"Creative, arts and entertainment activities",services,0.2391040027141571
arts_and_entertainment,bar_crawl,bar_crawl,09,Mining support service activities,manufacturing,0.21132692694664001
arts_and_entertainment,betting_center,betting_center,92,Gambling and betting activities,services,0.5317896604537964
arts_and_entertainment,bingo_hall,bingo_hall,92,Gambling and betting activities,services,0.39173436164855957
arts_and_entertainment,bookmakers,bookmakers,58,Publishing activities,services,0.28494948148727417
arts_and_entertainment,cabaret,cabaret,31,Manufacture of furniture,manufacturing,0.27717965841293335
arts_and_entertainment,carousel,carousel,59,"Motion picture, video and television programme production, sound recording and music publishing activities",services,0.26311159133911133
arts_and_entertainment,casino,casino,92,Gambling and betting activities,services,0.5631028413772583
arts_and_entertainment,chamber_of_handicraft,chamber_of_handicraft,36,"Water collection, treatment and supply",manufacturing,0.2449522316455841
arts_and_entertainment,choir,choir,90,"Creative, arts and entertainment activities",services,0.21042270958423615
arts_and_entertainment,circus,circus,90,"Creative, arts and entertainment activities",services,0.3211144804954529
arts_and_entertainment,club_crawl,club_crawl,09,Mining support service activities,manufacturing,0.26113083958625793
arts_and_entertainment,comedy_club,comedy_club,90,"Creative, arts and entertainment activities",services,0.2407640814781189
arts_and_entertainment,topic_concert_venue,topic_concert_venue,79,"Travel agency, tour operator, reservation service and related activities",services,0.30859649181365967
arts_and_entertainment,country_club,country_club,79,"Travel agency, tour operator, reservation service and related activities",services,0.22936531901359558
arts_and_entertainment,country_dance_hall,country_dance_hall,90,"Creative, arts and entertainment activities",services,0.20540550351142883
arts_and_entertainment,dance_club,dance_club,90,"Creative, arts and entertainment activities",services,0.2631024122238159
arts_and_entertainment,dinner_theater,dinner_theater,56,Food and beverage service activities,services,0.3012264370918274
arts_and_entertainment,eatertainment,eatertainment,96,Other personal service activities,services,0.36802929639816284
arts_and_entertainment,escape_rooms,escape_rooms,55,Accommodation,services,0.2993042469024658
arts_and_entertainment,exhibition_and_trade_center,exhibition_and_trade_center,53,Postal and courier activities,services,0.334311842918396
arts_and_entertainment,glass_blowing,glass_blowing,18,Printing and reproduction of recorded media,manufacturing,0.11493800580501556
arts_and_entertainment,indoor_playcenter,indoor_playcenter,93,Sports activities and amusement and recreation activities,services,0.268553227186203
arts_and_entertainment,internet_cafe,internet_cafe,56,Food and beverage service activities,services,0.2759579122066498
arts_and_entertainment,jazz_and_blues,jazz_and_blues,90,"Creative, arts and entertainment activities",services,0.2116505205631256
arts_and_entertainment,karaoke,karaoke,59,"Motion picture, video and television programme production, sound recording and music publishing activities",services,0.2895162105560303
arts_and_entertainment,laser_tag,laser_tag,18,Printing and reproduction of recorded media,manufacturing,0.1933848261833191
arts_and_entertainment,makerspace,makerspace,77,Rental and leasing activities,services,0.20018836855888367
arts_and_entertainment,marching_band,marching_band,94,Activities of membership organizations,services,0.13948872685432434
arts_and_entertainment,music_venue,music_venue,55,Accommodation,services,0.2671659588813782
arts_and_entertainment,musical_band_orchestras_and_symphonies,musical_band_orchestras_and_symphonies,61,Telecommunications,services,0.30498892068862915
arts_and_entertainment,opera_and_ballet,opera_and_ballet,90,"Creative, arts and entertainment activities",services,0.3768928647041321
arts_and_entertainment,paint_and_sip,paint_and_sip,90,"Creative, arts and entertainment activities",services,0.18776759505271912
arts_and_entertainment,paintball,paintball,90,"Creative, arts and entertainment activities",services,0.20518693327903748
arts_and_entertainment,performing_arts,performing_arts,90,"Creative, arts and entertainment activities",services,0.46554985642433167
arts_and_entertainment,planetarium,planetarium,91,"Libraries, archives, museums and other cultural activities",services,0.2844567894935608
arts_and_entertainment,rodeo,rodeo,92,Gambling and betting activities,services,0.2165929675102234
arts_and_entertainment,salsa_club,salsa_club,56,Food and beverage service activities,services,0.2886165976524353
arts_and_entertainment,wildlife_sanctuary,wildlife_sanctuary,75,Veterinary activities,services,0.3884716033935547
arts_and_entertainment,stadium_arena,stadium_arena,93,Sports activities and amusement and recreation activities,services,0.350216269493103
arts_and_entertainment,studio_taping,studio_taping,59,"Motion picture, video and television programme production, sound recording and music publishing activities",services,0.21690544486045837
arts_and_entertainment,theaters_and_performance_venues,theaters_and_performance_venues,90,"Creative, arts and entertainment activities",services,0.3933659791946411
arts_and_entertainment,ticket_sales,ticket_sales,92,Gambling and betting activities,services,0.2661587595939636
arts_and_entertainment,virtual_reality_center,virtual_reality_center,74,"Other professional, scientific and technical activities",services,0.2181439995765686
arts_and_entertainment,water_park,water_park,36,"Water collection, treatment and supply",manufacturing,0.3121667802333832
arts_and_entertainment,cinema,cinema,59,"Motion picture, video and television programme production, sound recording and music publishing activities",services,0.36849725246429443
arts_and_entertainment,farm,farm,03,Fishing and aquaculture,agriculture,0.3546574115753174
arts_and_entertainment,festival,festival,93,Sports activities and amusement and recreation activities,services,0.3086417317390442
arts_and_entertainment,social_club,social_club,88,Social work activities without accommodation,services,0.34868112206459045
arts_and_entertainment,supernatural_reading,supernatural_reading,87,Residential care activities,services,0.171556293964386
attractions_and_activities,attractions_and_activities,attractions_and_activities,93,Sports activities and amusement and recreation activities,services,0.6519608497619629
attractions_and_activities,amusement_park,amusement_park,93,Sports activities and amusement and recreation activities,services,0.52350252866745
attractions_and_activities,aquarium,aquarium,36,"Water collection, treatment and supply",manufacturing,0.36866191029548645
attractions_and_activities,architecture,architecture,41,Construction of buildings,manufacturing,0.40275007486343384
attractions_and_activities,art_gallery,art_gallery,90,"Creative, arts and entertainment activities",services,0.3253523111343384
attractions_and_activities,atv_rentals_and_tours,atv_rentals_and_tours,77,Rental and leasing activities,services,0.44775402545928955
attractions_and_activities,axe_throwing,axe_throwing,90,"Creative, arts and entertainment activities",services,0.18797309696674347
attractions_and_activities,backpacking_area,backpacking_area,55,Accommodation,services,0.3959392309188843
attractions_and_activities,beach,beach,50,Water transport,services,0.2672286629676819
attractions_and_activities,beach_combing_area,beach_combing_area,08,Other mining and quarrying,manufacturing,0.28002095222473145
attractions_and_activities,boat_rental_and_training,boat_rental_and_training,55,Accommodation,services,0.4035557210445404
attractions_and_activities,boating_places,boating_places,55,Accommodation,services,0.400601863861084
attractions_and_activities,bobsledding_field,bobsledding_field,93,Sports activities and amusement and recreation activities,services,0.31051206588745117
attractions_and_activities,botanical_garden,botanical_garden,91,"Libraries, archives, museums and other cultural activities",services,0.3729628026485443
attractions_and_activities,bungee_jumping_center,bungee_jumping_center,93,Sports activities and amusement and recreation activities,services,0.3275504410266876
attractions_and_activities,canyon,canyon,08,Other mining and quarrying,manufacturing,0.25584977865219116
attractions_and_activities,castle,castle,90,"Creative, arts and entertainment activities",services,0.26194310188293457
attractions_and_activities,cave,cave,08,Other mining and quarrying,manufacturing,0.20951080322265625
attractions_and_activities,challenge_courses_center,challenge_courses_center,85,Education,services,0.27241426706314087
attractions_and_activities,cliff_jumping_center,cliff_jumping_center,93,Sports activities and amusement and recreation activities,services,0.23650096356868744
attractions_and_activities,climbing_service,climbing_service,09,Mining support service activities,manufacturing,0.32827943563461304
attractions_and_activities,crater,crater,08,Other mining and quarrying,manufacturing,0.2166462242603302
attractions_and_activities,cultural_center,cultural_center,90,"Creative, arts and entertainment activities",services,0.3385007977485657
attractions_and_activities,fishing_charter,fishing_charter,03,Fishing and aquaculture,agriculture,0.42683979868888855
attractions_and_activities,flyboarding_rental,flyboarding_rental,77,Rental and leasing activities,services,0.30320918560028076
attractions_and_activities,fort,fort,55,Accommodation,services,0.37844184041023254
attractions_and_activities,fountain,fountain,37,Sewerage,manufacturing,0.31718164682388306
attractions_and_activities,go_kart_track,go_kart_track,79,"Travel agency, tour operator, reservation service and related activities",services,0.1828691065311432
attractions_and_activities,haunted_house,haunted_house,87,Residential care activities,services,0.23078544437885284
attractions_and_activities,high_gliding_center,high_gliding_center,93,Sports activities and amusement and recreation activities,services,0.2747947573661804
attractions_and_activities,horseback_riding_service,horseback_riding_service,75,Veterinary activities,services,0.41854673624038696
attractions_and_activities,hot_air_balloons_tour,hot_air_balloons_tour,51,Air transport,services,0.279116690158844
attractions_and_activities,hot_springs,hot_springs,55,Accommodation,services,0.29707521200180054
attractions_and_activities,jet_skis_rental,jet_skis_rental,77,Rental and leasing activities,services,0.3066142201423645
attractions_and_activities,kiteboarding_instruction,kiteboarding_instruction,60,Programming and broadcasting activities,services,0.16923558712005615
attractions_and_activities,lake,lake,03,Fishing and aquaculture,agriculture,0.29192033410072327
attractions_and_activities,landmark_and_historical_building,landmark_and_historical_building,41,Construction of buildings,manufacturing,0.4361952841281891
attractions_and_activities,lighthouse,lighthouse,55,Accommodation,services,0.2561034560203552
attractions_and_activities,lookout,lookout,80,Security and investigation activities,services,0.2519737482070923
attractions_and_activities,marina,marina,03,Fishing and aquaculture,agriculture,0.2418454885482788
attractions_and_activities,monument,monument,91,"Libraries, archives, museums and other cultural activities",services,0.35330796241760254
attractions_and_activities,mountain_bike_parks,mountain_bike_parks,55,Accommodation,services,0.36315983533859253
attractions_and_activities,observatory,observatory,74,"Other professional, scientific and technical activities",services,0.22280508279800415
attractions_and_activities,paddleboard_rental,paddleboard_rental,77,Rental and leasing activities,services,0.3550851345062256
attractions_and_activities,palace,palace,91,"Libraries, archives, museums and other cultural activities",services,0.27452802658081055
