main_cat,sec_cat,raw_cat,section,isic_embed,isic_descr,dose,match_score
eat_and_drink,eat_and_drink,eat_and_drink,Q,86,Human health activities,services,0.26407650113105774
eat_and_drink,restaurant,restaurant,I,56,Food and beverage service activities,services,0.45932355523109436
eat_and_drink,bar,bar,R,92,Gambling and betting activities,services,0.2504656910896301
eat_and_drink,cafe,cafe,I,56,Food and beverage service activities,services,0.3438059389591217
accommodation,accommodation,accommodation,I,55,Accommodation,services,0.43691498041152954
accommodation,bed_and_breakfast,bed_and_breakfast,C,31,Manufacture of furniture,manufacturing,0.34134534001350403
accommodation,cabin,cabin,C,31,Manufacture of furniture,manufacturing,0.28590697050094604
accommodation,campground,campground,I,55,Accommodation,services,0.442442387342453
accommodation,cottage,cottage,C,31,Manufacture of furniture,manufacturing,0.3036311864852905
accommodation,guest_house,guest_house,I,55,Accommodation,services,0.3735901415348053
accommodation,health_retreats,health_retreats,Q,86,Human health activities,services,0.43842464685440063
accommodation,holiday_rental_home,holiday_rental_home,N,77,Rental and leasing activities,services,0.39542874693870544
accommodation,hostel,hostel,I,55,Accommodation,services,0.2874944508075714
accommodation,hotel,hotel,N,79,"Travel agency, tour operator, reservation service and related activities",services,0.31978148221969604
accommodation,inn,inn,I,55,Accommodation,services,0.2508334815502167
accommodation,lodge,lodge,R,92,Gambling and betting activities,services,0.1839679777622223
accommodation,motel,motel,I,55,Accommodation,services,0.2930336892604828
accommodation,mountain_huts,mountain_huts,I,55,Accommodation,services,0.3412369191646576
accommodation,resort,resort,N,79,"Travel agency, tour operator, reservation service and related activities",services,0.2886270582675934
accommodation,rv_park,rv_park,I,55,Accommodation,services,0.41278743743896484
accommodation,service_apartments,service_apartments,N,77,Rental and leasing activities,services,0.5114606618881226
automotive,automotive,automotive,G,45,Wholesale and retail trade and repair of motor vehicles and motorcycles,services,0.4468802213668823
automotive,automotive_dealer,automotive_dealer,G,45,Wholesale and retail trade and repair of motor vehicles and motorcycles,services,0.4850107431411743
automotive,car_buyer,car_buyer,G,45,Wholesale and retail trade and repair of motor vehicles and motorcycles,services,0.4477718472480774
automotive,automotive_services_and_repair,automotive_services_and_repair,C,33,Repair and installation of machinery and equipment,manufacturing,0.576976478099823
automotive,motorsport_vehicle_repair,motorsport_vehicle_repair,C,33,Repair and installation of machinery and equipment,manufacturing,0.43952158093452454
automotive,automotive_parts_and_accessories,automotive_parts_and_accessories,G,45,Wholesale and retail trade and repair of motor vehicles and motorcycles,services,0.5768754482269287
automotive,aircraft_dealer,aircraft_dealer,H,51,Air transport,services,0.3844878673553467
automotive,aircraft_services_and_repair,aircraft_services_and_repair,C,33,Repair and installation of machinery and equipment,manufacturing,0.5414667725563049
automotive,aircraft_parts_and_supplies,aircraft_parts_and_supplies,C,33,Repair and installation of machinery and equipment,manufacturing,0.484190434217453
automotive,boat_dealer,boat_dealer,G,45,Wholesale and retail trade and repair of motor vehicles and motorcycles,services,0.3747701942920685
automotive,boat_service_and_repair,boat_service_and_repair,S,95,Repair of computers and personal and household goods,services,0.5577304363250732
automotive,boat_parts_and_accessories,boat_parts_and_accessories,C,30,Manufacture of other transport equipment,manufacturing,0.5080587267875671
automotive,gas_station,gas_station,G,45,Wholesale and retail trade and repair of motor vehicles and motorcycles,services,0.31181928515434265
automotive,electric_vehicle_charging_station,electric_vehicle_charging_station,C,27,Manufacture of electrical equipment,manufacturing,0.3042408227920532
automotive,truck_stop,truck_stop,G,45,Wholesale and retail trade and repair of motor vehicles and motorcycles,services,0.2962411344051361
automotive,automobile_leasing,automobile_leasing,N,77,Rental and leasing activities,services,0.5891537666320801
automotive,automotive_repair,automotive_repair,C,33,Repair and installation of machinery and equipment,manufacturing,0.5964133143424988
automotive,auto_company,auto_company,G,45,Wholesale and retail trade and repair of motor vehicles and motorcycles,services,0.4636014997959137
automotive,motorcycle_manufacturer,motorcycle_manufacturer,G,45,Wholesale and retail trade and repair of motor vehicles and motorcycles,services,0.4556051194667816
arts_and_entertainment,arts_and_entertainment,arts_and_entertainment,R,90,"Creative, arts and entertainment activities",services,0.7204711437225342
arts_and_entertainment,adult_entertainment,adult_entertainment,R,90,"Creative, arts and entertainment activities",services,0.4680144190788269
arts_and_entertainment,arcade,arcade,R,93,Sports activities and amusement and recreation activities,services,0.2885025441646576
arts_and_entertainment,auditorium,auditorium,R,90,"Creative, arts and entertainment activities",services,0.2459292858839035
arts_and_entertainment,bar_crawl,bar_crawl,S,94,Activities of membership organizations,services,0.25692546367645264
arts_and_entertainment,betting_center,betting_center,R,92,Gambling and betting activities,services,0.5988175272941589
arts_and_entertainment,bingo_hall,bingo_hall,R,92,Gambling and betting activities,services,0.364197313785553
arts_and_entertainment,bookmakers,bookmakers,R,92,Gambling and betting activities,services,0.5292305946350098
arts_and_entertainment,cabaret,cabaret,J,59,"Motion picture, video and television programme production, sound recording and music publishing activities",services,0.21240438520908356
arts_and_entertainment,carousel,carousel,R,90,"Creative, arts and entertainment activities",services,0.23370477557182312
arts_and_entertainment,casino,casino,R,92,Gambling and betting activities,services,0.4625226855278015
arts_and_entertainment,chamber_of_handicraft,chamber_of_handicraft,C,32,Other manufacturing,manufacturing,0.5311926603317261
arts_and_entertainment,choir,choir,R,90,"Creative, arts and entertainment activities",services,0.2530968189239502
arts_and_entertainment,circus,circus,R,93,Sports activities and amusement and recreation activities,services,0.3583371043205261
arts_and_entertainment,club_crawl,club_crawl,S,94,Activities of membership organizations,services,0.3109636902809143
arts_and_entertainment,comedy_club,comedy_club,R,90,"Creative, arts and entertainment activities",services,0.29774391651153564
arts_and_entertainment,topic_concert_venue,topic_concert_venue,R,93,Sports activities and amusement and recreation activities,services,0.3155527114868164
arts_and_entertainment,country_club,country_club,R,93,Sports activities and amusement and recreation activities,services,0.2776029109954834
arts_and_entertainment,country_dance_hall,country_dance_hall,R,91,"Libraries, archives, museums and other cultural activities",services,0.23039162158966064
arts_and_entertainment,dance_club,dance_club,R,90,"Creative, arts and entertainment activities",services,0.27418410778045654
arts_and_entertainment,dinner_theater,dinner_theater,I,56,Food and beverage service activities,services,0.26724526286125183
